Player,Team,Age,Height (cm),Weight (kg),Stick
Ivan Provorov,Philadelphia,25,184,91,left
Jesse Puljujärvi,Edmonton,23,193,92,right
Ryan Pulock,NY Islanders,27,187,98,right
Mark Pysyk,Buffalo,30,186,90,right
Juuso Pärssinen,Nashville,21,190,92,left
Jonathan Quick,Los Angeles,36,185,99,left
Antti Raanta,Carolina,32,183,87,left
Taylor Raddysh,Chicago,24,191,90,right
Aleksandr Radulov,Dallas,35,185,91,left
Michael Raffl,Dallas,33,185,93,left
Rickard Rakell,Pittsburgh,28,185,88,right
Mikko Rantanen,Colorado,25,193,98,left
Victor Rask,Seattle,29,187,90,left
Michael Rasmussen,Detroit,23,197,95,left
Lucas Raymond,Detroit,20,180,82,right
Ryan Reaves,NY Rangers,35,185,102,right
Scott Reedy,San Jose,23,188,97,right
Mike Reilly,Boston,28,187,89,left
James Reimer,San Jose,34,188,98,left
Sam Reinhart,Florida,26,187,87,right
